OBJECTID	tract	SHAPE_Length	SHAPE_Area	Tract_1	Population
510	6037109200	0.047297	0.00012	6037109200	3111
511	6037109300	0.056952	0.000146	6037109300	3408
512	6037109400	0.063755	0.000179	6037109400	4873
513	6037109500	0.049342	0.00009	6037109500	2870
514	6037109601	0.048356	0.000139	6037109601	3302
515	6037109602	0.046622	0.000127	6037109602	4114
516	6037109700	0.058494	0.00016	6037109700	4088
517	6037109800	0.062118	0.000166	6037109800	5543
518	6037111100	0.063157	0.000237	6037111100	5346
519	6037111201	0.063156	0.000177	6037111201	2556
520	6037111202	0.067014	0.000175	6037111202	4795
521	6037111203	0.088673	0.000347	6037111203	6562
522	6037111204	0.076878	0.000331	6037111204	5756
523	6037111301	0.067994	0.000195	6037111301	6714
524	6037111302	0.080341	0.000211	6037111302	5269
525	6037111400	0.055684	0.000184	6037111400	7132
526	6037113100	0.109297	0.000589	6037113100	6244
527	6037113202	0.212409	0.001048	6037113202	4623
528	6037113211	0.116567	0.000692	6037113211	3839
529	6037113212	0.044582	0.000097	6037113212	3050
530	6037113213	0.054183	0.000129	6037113213	4394
531	6037113231	0.135604	0.000441	6037113231	2103
532	6037113232	0.072113	0.00023	6037113232	3907
533	6037113233	0.049084	0.000114	6037113233	6222
534	6037113234	0.049839	0.000102	6037113234	4224
535	6037113301	0.065289	0.000221	6037113301	1915
536	6059075806	0.056822	0.000199	6059075806	5839
537	6059075807	0.05785	0.000157	6059075807	4640
538	6059075808	0.05808	0.000154	6059075808	3226
539	6059075809	0.091465	0.000317	6059075809	3130
540	6059075810	0.070448	0.000232	6059075810	3078
541	6059075811	0.046415	0.000115	6059075811	3311
542	6059075812	0.04883	0.000155	6059075812	6651
543	6059075813	0.073471	0.000282	6059075813	5139
544	6059075814	0.092153	0.000212	6059075814	3500
545	6059075815	0.054031	0.000139	6059075815	4910
546	6059075816	0.067695	0.000109	6059075816	3577
547	6059075901	0.048856	0.000124	6059075901	4461
548	6059075902	0.053563	0.000183	6059075902	6825
549	6059076000	0.077939	0.000314	6059076000	8752
550	6059076101	0.090862	0.000395	6059076101	5264
551	6059076102	0.065171	0.000219	6059076102	6924
552	6059076103	0.055402	0.000163	6059076103	8639
553	6059076204	0.116638	0.000621	6059076204	5360
