OBJECTID	tract	SHAPE_Length	SHAPE_Area	density	Tract_1	Population
365	6029004602	1.403332	0.054239	200186.6875	6029004602	10858
366	6029004700	0.166121	0.001567	6464308	6029004700	10135
367	6029004800	0.110177	0.000473	16770237	6029004800	7939
368	6029004901	0.050664	0.000149	37062404	6029004901	5552
369	6029004902	0.066898	0.000263	30005358	6029004902	7892
370	6029005000	0.156748	0.001132	8438985	6029005000	9561
371	6029005103	0.685524	0.018891	122224.8906	6029005103	2309
372	6029005104	0.678235	0.010246	109696.5859	6029005104	1124
373	6029005201	3.430956	0.247346	22818.17188	6029005201	5644
374	6029005202	3.142106	0.186407	53200.75391	6029005202	9917
375	6029005300	0.819177	0.028584	65524.82813	6029005300	1873
376	6029005401	0.108181	0.000533	10434308	6029005401	5567
377	6029005402	0.100339	0.000521	9333007	6029005402	4865
378	6029005403	0.129562	0.001027	6683353	6029005403	6867
379	6029005404	0.140435	0.001079	6253713	6029005404	6753
380	6029005501	1.533697	0.07128	79755.5	6029005501	5685
381	6029005503	3.885867	0.14897	16842.25781	6029005503	2509
382	6029005504	1.046236	0.052378	1431.875488	6029005504	75
383	6029005505	0.69586	0.019754	417523.375	6029005505	8248
384	6029005506	1.297319	0.040032	122024.6172	6029005506	4885
385	6083000102	0.088725	0.000236	22463148	6083000102	5315
386	6083000300	0.05342	0.000148	47810604	6083000300	7086
387	6083000501	0.2754	0.002334	1528485	6083000501	3568
388	6071000103	0.084641	0.000331	14397356	6071000103	4779
389	6071000104	0.121599	0.000434	15088526	6071000104	6560
390	6071000105	0.10976	0.000531	11466892	6071000105	6095
391	6071000106	0.192878	0.001909	6277776	6071000106	11989
392	6071000107	0.060818	0.000148	20115288	6071000107	2982
393	6071000108	0.07924	0.000277	17679116	6071000108	4905
394	6071000109	0.076454	0.000321	22093926	6071000109	7093
395	6071000110	0.095347	0.000538	19320910	6071000110	10407
396	6071000111	0.200084	0.00105	1980874.75	6071000111	2081
397	6071000112	0.420341	0.006561	1656885.375	6071000112	10872
398	6071000201	0.077528	0.000314	14507367	6071000201	4560
399	6071000202	0.101497	0.000549	31824458	6071000202	17494
400	6071000301	0.08944	0.000261	30395882	6071000301	7938
401	6071000303	0.058378	0.000202	32000110	6071000303	6494
402	6071000304	0.077417	0.00032	13387934	6071000304	4297
403	6071000401	0.128198	0.000587	10916244	6071000401	6418
404	6071000402	0.118005	0.000608	13776888	6071000402	8383
405	6071000500	0.19513	0.001451	11897182	6071000500	17269
406	6071000601	0.090889	0.000448	24563398	6071000601	11026
407	6071000602	0.076164	0.000216	40284376	6071000602	8710
408	6071000700	0.129582	0.000995	7688967.5	6071000700	7658
409	6071000804	0.119041	0.000366	8518911	6071000804	3124
410	6071002201	0.086562	0.000313	34608108	6071002201	10842
411	6071002203	0.349054	0.003279	1462213.75	6071002203	4795
412	6071002204	0.216455	0.001903	2755624.25	6071002204	5244
413	6071002301	0.110432	0.000549	12752563	6071002301	7006
414	6071002302	0.105152	0.000634	13429682	6071002302	8520
415	6071002303	0.167174	0.001491	8464577	6071002303	12626
416	6071002401	0.078772	0.000381	19551808	6071002401	7453
